# PIMCID: c98674cb-9818-4827-8ba2-1a996bca1df0
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.54402575E+02 -6.25840479E+02 -1.71437904E+02 -6.93703082E-01  1.71819347E+01 -2.65209189E+01 -9.33898421E+00  2.37144724E+01  5.66662010E+02  2.46483298E-02
  4.33941252E+02 -6.37672928E+02 -2.03731675E+02 -3.18532048E+01  1.64628463E+01 -2.68320839E+01 -1.03692377E+01  2.38720098E+01  5.73689755E+02  2.48120709E-02
  4.74121865E+02 -6.35231916E+02 -1.61110051E+02  1.05472160E+01  1.81555389E+01 -2.67688542E+01 -8.61331528E+00  2.38412871E+01  5.72215743E+02  2.47801384E-02
  5.28302186E+02 -6.94271937E+02 -1.65969752E+02  1.64405038E+01  1.95811069E+01 -2.74932102E+01 -7.91210336E+00  2.53347577E+01  6.45103392E+02  2.63324207E-02
  4.81731808E+02 -6.78410258E+02 -1.96678450E+02 -1.68485418E+01  1.81661892E+01 -2.72368027E+01 -9.07061348E+00  2.49763761E+01  6.26530321E+02  2.59599264E-02
  4.92847086E+02 -6.47755016E+02 -1.54907931E+02  1.95634513E+01  1.87116698E+01 -2.68489404E+01 -8.13727068E+00  2.42321364E+01  5.90981318E+02  2.51863790E-02
  4.83445172E+02 -6.39706139E+02 -1.56260967E+02  1.65083134E+01  1.83199232E+01 -2.67843553E+01 -8.46443210E+00  2.39957333E+01  5.79715822E+02  2.49406666E-02
  5.31705923E+02 -6.40210886E+02 -1.08504962E+02  6.57864196E+01  2.03244357E+01 -2.65553999E+01 -6.23096421E+00  2.42071364E+01  5.89996227E+02  2.51603945E-02
  4.78229845E+02 -6.28577695E+02 -1.50347851E+02  2.13188040E+01  1.82601527E+01 -2.64832332E+01 -8.22308048E+00  2.38425909E+01  5.72554227E+02  2.47814935E-02
  4.95147110E+02 -6.67622661E+02 -1.72475551E+02  6.21650004E+00  1.84896981E+01 -2.70023021E+01 -8.51260397E+00  2.48183404E+01  6.19334766E+02  2.57956673E-02
  5.19488025E+02 -6.84207632E+02 -1.64719608E+02  1.60950813E+01  1.95157924E+01 -2.73208634E+01 -7.80507107E+00  2.51131513E+01  6.33986345E+02  2.61020876E-02
  4.99790725E+02 -6.65063744E+02 -1.65273018E+02  1.26804840E+01  1.88462598E+01 -2.70104019E+01 -8.16414212E+00  2.47157642E+01  6.14010524E+02  2.56890517E-02
  5.79794211E+02 -6.90001183E+02 -1.10206972E+02  7.29039244E+01  2.14761413E+01 -2.72220410E+01 -5.74589976E+00  2.54320690E+01  6.50434483E+02  2.64335640E-02
  5.26672201E+02 -6.78481167E+02 -1.51808967E+02  2.84945271E+01  1.97980742E+01 -2.71802310E+01 -7.38215680E+00  2.50421519E+01  6.29993544E+02  2.60282923E-02
  5.11708959E+02 -6.69883401E+02 -1.58174443E+02  2.10809418E+01  1.91393115E+01 -2.70031987E+01 -7.86388718E+00  2.48965812E+01  6.23301966E+02  2.58769891E-02
  4.25116920E+02 -6.49517778E+02 -2.24400858E+02 -5.04903714E+01  1.58480538E+01 -2.70144321E+01 -1.11663784E+01  2.41542342E+01  5.87309279E+02  2.51054091E-02
  4.73610264E+02 -6.41707454E+02 -1.68097189E+02  5.59491598E+00  1.78714594E+01 -2.67112582E+01 -8.83979874E+00  2.41239035E+01  5.86274079E+02  2.50738840E-02
  4.91889895E+02 -6.64679625E+02 -1.72789730E+02  4.94007915E+00  1.86051664E+01 -2.70160219E+01 -8.41085546E+00  2.46846957E+01  6.12376261E+02  2.56567597E-02
  4.34561392E+02 -6.32891645E+02 -1.98330253E+02 -2.81137437E+01  1.66767659E+01 -2.68871175E+01 -1.02103516E+01  2.36411818E+01  5.62665909E+02  2.45721531E-02
  5.06160673E+02 -6.50596268E+02 -1.44435595E+02  3.12807353E+01  1.91800429E+01 -2.67635681E+01 -7.58352524E+00  2.44050459E+01  5.99206514E+02  2.53660975E-02
  5.43645180E+02 -6.76327181E+02 -1.32682002E+02  4.79716577E+01  2.03669521E+01 -2.70459990E+01 -6.67904683E+00  2.50907860E+01  6.32969301E+02  2.60788416E-02
  4.97753196E+02 -6.35652070E+02 -1.37898874E+02  3.47908354E+01  1.88287237E+01 -2.66395735E+01 -7.81084974E+00  2.39846818E+01  5.79516136E+02  2.49291799E-02
  4.45611886E+02 -6.58832299E+02 -2.13220413E+02 -3.75064931E+01  1.66046995E+01 -2.71112816E+01 -1.05065820E+01  2.44047111E+01  5.99434667E+02  2.53657496E-02
  4.26600170E+02 -6.56297743E+02 -2.29697573E+02 -5.51784577E+01  1.61203174E+01 -2.71754429E+01 -1.10551255E+01  2.42387660E+01  5.90924043E+02  2.51932697E-02
  4.92717784E+02 -6.65702296E+02 -1.72984513E+02  5.53416557E+00  1.85326713E+01 -2.69421525E+01 -8.40948117E+00  2.47942609E+01  6.17974261E+02  2.57706395E-02
  5.18303871E+02 -6.57986342E+02 -1.39682471E+02  3.78075831E+01  1.94598060E+01 -2.67907659E+01 -7.33095982E+00  2.46513964E+01  6.11529955E+02  2.56221492E-02
  4.89046836E+02 -6.47874618E+02 -1.58827782E+02  1.58046946E+01  1.86558054E+01 -2.67970727E+01 -8.14126733E+00  2.42545106E+01  5.92691447E+02  2.52096344E-02
  5.07147517E+02 -6.37600294E+02 -1.30452778E+02  4.32763948E+01  1.93700172E+01 -2.65446457E+01 -7.17462847E+00  2.41290517E+01  5.85698966E+02  2.50792350E-02
  5.11894881E+02 -6.82739467E+02 -1.70844586E+02  1.05314137E+01  1.90826189E+01 -2.71899452E+01 -8.10732629E+00  2.51911111E+01  6.37761600E+02  2.61831174E-02
  4.81078679E+02 -6.35275133E+02 -1.54196455E+02  1.89886314E+01  1.81128337E+01 -2.65321494E+01 -8.41931567E+00  2.40534842E+01  5.82987873E+02  2.50006916E-02
  5.01049936E+02 -6.56453029E+02 -1.55403094E+02  2.10871420E+01  1.87185848E+01 -2.68855755E+01 -8.16699073E+00  2.45125328E+01  6.05227031E+02  2.54778172E-02
  4.94475097E+02 -6.58511275E+02 -1.64036179E+02  1.31916695E+01  1.86545949E+01 -2.68485173E+01 -8.19392245E+00  2.46149789E+01  6.09864684E+02  2.55842976E-02
