# PIMCID: a48c7b1e-9699-4db5-b21f-f7eaecb6ffec
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  5.50730166E+02 -6.76077363E+02 -1.25347197E+02  5.56491144E+01  2.09097602E+01 -2.69638806E+01 -6.05412036E+00  2.51383766E+01  6.34456818E+02  2.61283063E-02
  5.03274661E+02 -6.59611328E+02 -1.56336667E+02  2.10471722E+01  1.91960946E+01 -2.68593982E+01 -7.66330358E+00  2.46366443E+01  6.10113289E+02  2.56068161E-02
  4.16066720E+02 -6.45038723E+02 -2.28972003E+02 -5.61551945E+01  1.57213357E+01 -2.69899743E+01 -1.12686386E+01  2.40023345E+01  5.79745401E+02  2.49475277E-02
  4.95851151E+02 -6.50096285E+02 -1.54245133E+02  2.10485493E+01  1.89209760E+01 -2.67935553E+01 -7.87257929E+00  2.43463448E+01  5.96859793E+02  2.53050849E-02
  5.34942091E+02 -7.15343532E+02 -1.80401442E+02  5.91610260E+00  1.96758224E+01 -2.77079420E+01 -8.03211961E+00  2.58774367E+01  6.72339335E+02  2.68964700E-02
  4.93780564E+02 -6.62215603E+02 -1.68435039E+02  9.43528972E+00  1.87352621E+01 -2.68817277E+01 -8.14646560E+00  2.47042123E+01  6.13959623E+02  2.56770449E-02
  4.78991105E+02 -6.70483547E+02 -1.91492442E+02 -1.33670472E+01  1.81505576E+01 -2.71815708E+01 -9.03101326E+00  2.47396382E+01  6.15126546E+02  2.57138658E-02
  5.34558449E+02 -6.42487438E+02 -1.07928989E+02  6.59960412E+01  2.07533116E+01 -2.66900658E+01 -5.93675419E+00  2.41562542E+01  5.86758328E+02  2.51075086E-02
  4.57550821E+02 -6.51523868E+02 -1.93973047E+02 -1.82412975E+01  1.72686194E+01 -2.67956120E+01 -9.52699266E+00  2.44071875E+01  5.99251007E+02  2.53683235E-02
  5.18125887E+02 -6.46868243E+02 -1.28742356E+02  4.73686440E+01  1.98649867E+01 -2.65251100E+01 -6.66012327E+00  2.44598611E+01  6.01866111E+02  2.54230714E-02
  5.44457226E+02 -6.83264696E+02 -1.38807470E+02  4.33075303E+01  2.04318810E+01 -2.70852001E+01 -6.65331908E+00  2.52937500E+01  6.42855101E+02  2.62897981E-02
  4.49789320E+02 -6.40207861E+02 -1.90418541E+02 -1.72975830E+01  1.72984084E+01 -2.67204639E+01 -9.42205557E+00  2.40445775E+01  5.81351549E+02  2.49914342E-02
  4.96229726E+02 -6.51797234E+02 -1.55567509E+02  1.99598316E+01  1.90925880E+01 -2.68238571E+01 -7.73126909E+00  2.43787973E+01  5.97327732E+02  2.53388153E-02
  4.89922140E+02 -6.49768082E+02 -1.59845942E+02  1.49940584E+01  1.88767784E+01 -2.68333294E+01 -7.95655094E+00  2.42833333E+01  5.93350850E+02  2.52395921E-02
  4.68937365E+02 -6.56532217E+02 -1.87594852E+02 -1.13624245E+01  1.79726705E+01 -2.68992153E+01 -8.92654484E+00  2.44767260E+01  6.02320000E+02  2.54406004E-02
  5.07540422E+02 -6.50027474E+02 -1.42487052E+02  3.28111523E+01  1.94946798E+01 -2.67943894E+01 -7.29970959E+00  2.43469728E+01  5.95912483E+02  2.53057376E-02
  5.24632623E+02 -6.33646601E+02 -1.09013978E+02  6.44276325E+01  2.04071417E+01 -2.63848733E+01 -5.97773162E+00  2.40891126E+01  5.83948635E+02  2.50377231E-02
  5.66670631E+02 -6.58322531E+02 -9.16519003E+01  8.60112197E+01  2.17540669E+01 -2.67550137E+01 -5.00094680E+00  2.46754333E+01  6.12077300E+02  2.56471327E-02
