#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  8.55500000E-01  3.10175841E-02  4.78083251E-05  8.55500000E-01  3.10988954E-02  5.79148429E-05  8.55500000E-01  3.13338284E-02  6.80108538E-05  8.55500000E-01  3.15705579E-02  4.96191373E-05
  8.70000000E-01  2.81705771E-02  4.46720993E-05  8.70000000E-01  2.82475481E-02  5.28273897E-05  8.70000000E-01  2.84655366E-02  6.27364234E-05  8.70000000E-01  2.86779265E-02  4.57034225E-05
  8.84500000E-01  2.54933765E-02  4.03245343E-05  8.84500000E-01  2.55639717E-02  4.87103060E-05  8.84500000E-01  2.57596913E-02  5.81235612E-05  8.84500000E-01  2.59558754E-02  4.22043301E-05
  8.99000000E-01  2.29833445E-02  3.72263825E-05  8.99000000E-01  2.30462419E-02  4.47645541E-05  8.99000000E-01  2.32230449E-02  5.28358100E-05  8.99000000E-01  2.34095236E-02  3.82902118E-05
  9.13500000E-01  2.06399442E-02  3.48021799E-05  9.13500000E-01  2.06958581E-02  4.03135538E-05  9.13500000E-01  2.08625852E-02  4.76917872E-05  9.13500000E-01  2.10246312E-02  3.53144408E-05
  9.28000000E-01  1.84588128E-02  3.05684609E-05  9.28000000E-01  1.85119908E-02  3.74031754E-05  9.28000000E-01  1.86598984E-02  4.39383030E-05  9.28000000E-01  1.88089040E-02  3.20226576E-05
  9.42500000E-01  1.64362185E-02  2.77882922E-05  9.42500000E-01  1.64861857E-02  3.34188387E-05  9.42500000E-01  1.66228926E-02  3.92807855E-05  9.42500000E-01  1.67548131E-02  2.82434888E-05
  9.57000000E-01  1.45728211E-02  2.55195634E-05  9.57000000E-01  1.46144224E-02  3.04293867E-05  9.57000000E-01  1.47398675E-02  3.54113898E-05  9.57000000E-01  1.48613388E-02  2.56463011E-05
  9.71500000E-01  1.28584625E-02  2.23841218E-05  9.71500000E-01  1.28993257E-02  2.70795381E-05  9.71500000E-01  1.30077445E-02  3.14398859E-05  9.71500000E-01  1.31160847E-02  2.32702870E-05
  9.86000000E-01  1.12916187E-02  2.03942763E-05  9.86000000E-01  1.13273409E-02  2.41950159E-05  9.86000000E-01  1.14251631E-02  2.83745806E-05  9.86000000E-01  1.15190566E-02  2.04928455E-05
  1.00000000E+00  9.86384135E-03  1.78574827E-05  1.00000000E+00  9.89599347E-03  2.11417079E-05  1.00000000E+00  9.97987975E-03  2.46798139E-05  1.00000000E+00  1.00643775E-02  1.81372999E-05
  1.01500000E+00  8.56791550E-03  1.56363802E-05  1.01500000E+00  8.59844168E-03  1.86638915E-05  1.01500000E+00  8.67193117E-03  2.19577831E-05  1.01500000E+00  8.74627331E-03  1.59998123E-05
  1.02900000E+00  7.40276903E-03  1.37509018E-05  1.02900000E+00  7.42816132E-03  1.61047224E-05  1.02900000E+00  7.49251678E-03  1.92303640E-05  1.02900000E+00  7.55719659E-03  1.38937070E-05
  1.04400000E+00  6.35589264E-03  1.19086633E-05  1.04400000E+00  6.37805971E-03  1.42802784E-05  1.04400000E+00  6.43515322E-03  1.65601483E-05  1.04400000E+00  6.49067040E-03  1.19515739E-05
  1.05800000E+00  5.42391572E-03  1.01693230E-05  1.05800000E+00  5.44322708E-03  1.20836991E-05  1.05800000E+00  5.49068702E-03  1.41745773E-05  1.05800000E+00  5.53771667E-03  1.05549250E-05
  1.07300000E+00  4.59664932E-03  8.65276595E-06  1.07300000E+00  4.61338341E-03  1.03943953E-05  1.07300000E+00  4.65537759E-03  1.21402313E-05  1.07300000E+00  4.69425712E-03  8.98888437E-06
  1.08700000E+00  3.86760129E-03  7.41134478E-06  1.08700000E+00  3.88305248E-03  8.96904428E-06  1.08700000E+00  3.91670603E-03  1.04477619E-05  1.08700000E+00  3.95082013E-03  7.52665079E-06
  1.10200000E+00  3.23119443E-03  6.39713649E-06  1.10200000E+00  3.24352761E-03  7.47538821E-06  1.10200000E+00  3.27238247E-03  9.03474528E-06  1.10200000E+00  3.30000178E-03  6.50288015E-06
