#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)           r [Å]            g(r)           Δg(r)
  3.50000000E+01  7.02661581E-01  2.14197075E-03  3.50000000E+01  7.07626026E-01  1.18866199E-03  3.50000000E+01  7.19197364E-01  1.26108075E-03  3.50000000E+01  7.43631103E-01  5.23117691E-03
  3.60000000E+01  1.49208382E+00  3.22245375E-03  3.60000000E+01  1.48324402E+00  1.75629542E-03  3.60000000E+01  1.46666412E+00  1.91195390E-03  3.60000000E+01  1.43324507E+00  4.48402012E-03
  3.70000000E+01  9.85718647E-01  8.48813653E-04  3.70000000E+01  9.87319090E-01  6.06379894E-04  3.70000000E+01  9.86244600E-01  6.15315842E-04  3.70000000E+01  9.83788311E-01  2.34242790E-03
  3.80000000E+01  5.28385825E-01  3.09785685E-03  3.80000000E+01  5.35162431E-01  1.79868955E-03  3.80000000E+01  5.52338436E-01  1.83531452E-03  3.80000000E+01  5.86910980E-01  5.96449286E-03
  3.90000000E+01  1.29741350E+00  1.98804987E-03  3.90000000E+01  1.29239450E+00  1.16115682E-03  3.90000000E+01  1.28324668E+00  1.19282054E-03  3.90000000E+01  1.26460484E+00  1.98896569E-03
  4.00000000E+01  1.28733813E+00  2.16952407E-03  4.00000000E+01  1.28346069E+00  1.36171675E-03  4.00000000E+01  1.27103378E+00  1.40297254E-03  4.00000000E+01  1.24689398E+00  4.75207199E-03
  4.10000000E+01  5.30302556E-01  3.14181598E-03  4.10000000E+01  5.37399939E-01  1.84712907E-03  4.10000000E+01  5.54677473E-01  1.86188356E-03  4.10000000E+01  5.88815487E-01  5.02072322E-03
  4.20000000E+01  9.96454935E-01  7.02585309E-04  4.20000000E+01  9.96928879E-01  5.98212342E-04  4.20000000E+01  9.98931413E-01  5.47978838E-04  4.20000000E+01  1.00280247E+00  1.51892457E-03
  4.30000000E+01  1.47650164E+00  3.78523382E-03  4.30000000E+01  1.46798481E+00  2.25073307E-03  4.30000000E+01  1.44838970E+00  2.22413492E-03  4.30000000E+01  1.40969182E+00  6.04586946E-03
  4.40000000E+01  7.04953443E-01  2.22620504E-03  4.40000000E+01  7.10113101E-01  1.30044078E-03  4.40000000E+01  7.21063199E-01  1.25028945E-03  4.40000000E+01  7.42916256E-01  2.69561710E-03
  4.50000000E+01  7.08296253E-01  2.37383850E-03  4.50000000E+01  7.13420518E-01  1.46673086E-03  4.50000000E+01  7.26469037E-01  1.44247184E-03  4.50000000E+01  7.51021963E-01  4.37005498E-03
  4.60000000E+01  1.47580637E+00  3.80053179E-03  4.60000000E+01  1.46736284E+00  2.26132131E-03  4.60000000E+01  1.44710591E+00  2.20258914E-03  4.60000000E+01  1.40910674E+00  5.69690037E-03
  4.70000000E+01  9.92268205E-01  3.98676702E-04  4.70000000E+01  9.92927419E-01  2.62434437E-04  4.70000000E+01  9.93340387E-01  2.02006630E-04  4.70000000E+01  9.93596022E-01  6.45798038E-04
  4.80000000E+01  5.36139714E-01  3.46877968E-03  4.80000000E+01  5.43484639E-01  2.09905153E-03  4.80000000E+01  5.62922080E-01  2.05172908E-03  4.80000000E+01  5.99654647E-01  6.12137131E-03
  4.90000000E+01  1.28799911E+00  2.18927157E-03  4.90000000E+01  1.28337227E+00  1.31066309E-03  4.90000000E+01  1.27116844E+00  1.28845037E-03  4.90000000E+01  1.24844383E+00  3.64587025E-03
